"","PEHE","PEHE_mean","PEHE_std","MAPE","MAPE_mean","MAPE_std"
"1",0.113421730832125,0.102819319476782,0.005486488519332,0.450555529027973,0.430985981807512,0.0401518476260347
"2",0.101234338881759,NA,NA,0.446224983056466,NA,NA
"3",0.0939795978481404,NA,NA,0.398627356436371,NA,NA
"4",0.098376972139889,NA,NA,0.350600431271092,NA,NA
"5",0.102560340084901,NA,NA,0.423742959259508,NA,NA
"6",0.106391048165351,NA,NA,0.478502818414868,NA,NA
"7",0.107641837648913,NA,NA,0.450831801954877,NA,NA
"8",0.103302875529032,NA,NA,0.465526344713203,NA,NA
"9",0.103124292397977,NA,NA,0.456890175881391,NA,NA
"10",0.0981601612397342,NA,NA,0.388357418059368,NA,NA
