"","age.30","age.60","workclass.Private","workclass.Self.emp","workclass.gov","education.num.12","education.num.9","Prof","white","Male","hours.50","hours.30","US","class","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",1,0,NA,NA,1,NA,NA,0,NA,0,NA,NA,NA,NA,5,1,23,2,138,0.0416666666666667,0.0142857142857143,0.0273809523809524,-0.0305343511450382,0.0579153035259905,164
"2",1,0,NA,NA,1,NA,NA,1,NA,0,NA,NA,NA,NA,6,9,75,0,41,0.107142857142857,0,0.107142857142857,0.0291527482538718,0.0779901088889853,125
"3",0,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,7,128,247,60,519,0.341333333333333,0.103626943005181,0.237706390328152,0.223178843713152,0.0145275466150004,954
"4",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,9,419,316,315,854,0.570068027210884,0.269461077844311,0.300606949366573,0.276078227110575,0.0245287222559976,1904
"5",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,0,NA,10,43,46,27,53,0.48314606741573,0.3375,0.14564606741573,0.366568914956012,0.220922847540281,169
"6",NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,1,0,NA,14,3,20,1,73,0.130434782608696,0.0135135135135135,0.116921269095182,0.136363636363636,0.0194423672684542,97
"7",NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,NA,15,110,128,56,396,0.46218487394958,0.123893805309735,0.338291068639845,0.288183316131602,0.0501077525082431,690
"8",NA,NA,NA,NA,0,NA,NA,NA,1,NA,0,1,0,NA,17,6,18,7,131,0.25,0.0507246376811594,0.199275362318841,-0.0083743842364532,0.207649746555294,162
"9",NA,NA,NA,NA,0,NA,NA,NA,1,0,NA,0,0,NA,19,15,48,17,281,0.238095238095238,0.0570469798657718,0.181048258229466,0.201428571428571,0.0203803131991051,361
"10",NA,NA,NA,NA,0,NA,NA,NA,1,1,NA,0,0,NA,20,114,102,89,673,0.527777777777778,0.116797900262467,0.410979877515311,0.423560492113078,0.0125806145977674,978
"11",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,21,2020,2104,2316,12378,0.489815712900097,0.15761535320539,0.332200359694707,0.340260332605063,0.00805997291035621,18818
