"","age.30","age.60","workclass.Private","workclass.Self.emp","workclass.gov","education.num.12","education.num.9","Prof","white","Male","hours.50","hours.30","US","class","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",1,0,0,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,4,16,92,20,219,0.148148148148148,0.0836820083682008,0.0644661397799473,-0.0235059760956175,0.0879721158755648,347
"2",1,0,0,0,1,NA,NA,0,NA,0,NA,NA,NA,NA,6,1,21,4,131,0.0454545454545455,0.0296296296296296,0.0158249158249158,-0.0147058823529412,0.030530798177857,157
"3",1,0,0,0,1,NA,NA,1,NA,0,NA,NA,NA,NA,7,5,86,1,35,0.0549450549450549,0.0277777777777778,0.0271672771672772,0.109756097560976,0.0825888203936984,127
"4",0,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,574,515,397,1148,0.527089072543618,0.256957928802589,0.270131143741029,0.287060043820801,0.0169289000797718,2634
"5",NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,1,0,NA,12,2,18,6,138,0.1,0.0416666666666667,0.0583333333333333,-0.033112582781457,0.0914459161147903,164
"6",NA,NA,NA,NA,0,NA,NA,1,NA,NA,0,1,0,NA,13,7,25,2,43,0.21875,0.0444444444444444,0.174305555555556,0.135664335664336,0.0386412198912199,77
"7",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,14,219,292,157,1339,0.428571428571429,0.104946524064171,0.323624904507257,0.355891499160762,0.0322665946535047,2007
"8",NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,16,1910,1939,2206,11394,0.496232787737075,0.162205882352941,0.334026905384133,0.334584230814056,0.000557325429923039,17449
"9",0,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,18,91,92,82,418,0.497267759562842,0.164,0.333267759562841,0.324117034371745,0.00915072519109639,683
"10",0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,19,72,75,88,542,0.489795918367347,0.13968253968254,0.350113378684807,0.435164602519318,0.0850512238345111,777
