"","age.30","age.60","wkcls.private","wkcls.self_emp","wkcls.gov","educ.12","occ.prof","sex.male","hours.full","income.50K","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",NA,0,NA,NA,NA,NA,NA,0,NA,NA,3,1353,8593,893,59716,0.13603458676855,0.0147337854114075,0.121300801357143,0.119085392163974,0.00221540919316854,70555
"2",0,1,0,NA,NA,NA,NA,0,NA,NA,5,213,1245,195,11136,0.146090534979424,0.0172094254699497,0.128881109509474,0.0913404929316798,0.0375406165777943,12789
"3",0,1,1,0,0,NA,NA,0,NA,NA,6,86,281,143,2223,0.23433242506812,0.0604395604395604,0.173892864628559,0.215397565397565,0.0415047007690059,2733
"4",0,0,0,0,1,NA,1,1,0,NA,12,168,356,43,85,0.320610687022901,0.3359375,-0.0153268129770993,-0.0965429727690514,0.0812161597919521,652
"5",1,0,0,0,1,NA,1,1,0,NA,13,4,105,0,56,0.036697247706422,0,0.036697247706422,-0.0275181723779855,0.0642154200844075,165
"6",NA,0,0,0,1,NA,1,1,1,NA,14,285,465,76,186,0.38,0.290076335877863,0.0899236641221374,0.105915492957746,0.0159918288356091,1012
"7",1,0,0,0,1,NA,0,1,1,NA,17,8,52,24,346,0.133333333333333,0.0648648648648649,0.0684684684684685,-0.00235132752032918,0.0708197959887976,430
"8",0,0,0,0,1,NA,0,1,1,NA,18,148,195,174,941,0.431486880466472,0.156053811659193,0.275433068807279,0.289739665452902,0.0143065966456225,1458
"9",NA,0,0,0,1,NA,0,1,0,NA,19,164,305,167,1496,0.349680170575693,0.100420926037282,0.249259244538411,0.284294981040433,0.035035736502022,2132
"10",0,1,0,0,1,NA,NA,1,NA,NA,20,313,162,229,496,0.658947368421053,0.315862068965517,0.343085299455535,0.397187925449509,0.054102625993974,1200
"11",NA,NA,NA,NA,0,NA,NA,1,NA,NA,21,5116,7003,5313,63506,0.422147041835135,0.0772025167468286,0.344944525088306,0.342436556270868,0.00250796881743837,80938
