"","age.30","age.60","wkcls.private","wkcls.self_emp","wkcls.gov","educ.12","occ.prof","sex.male","hours.full","income.50K","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",0,1,NA,NA,NA,NA,NA,0,NA,NA,3,289,1510,346,13472,0.160644802668149,0.0250398031553047,0.135604999512844,0.123937615068196,0.0116673844446486,15617
"2",1,0,0,0,1,NA,NA,0,NA,NA,6,14,518,15,796,0.0263157894736842,0.0184956843403206,0.00782010513336362,0.0227063407722281,0.0148862356388645,1343
"3",0,0,0,0,1,NA,NA,0,NA,NA,7,352,1889,137,2884,0.157072735385988,0.0453492221118835,0.111723513274105,0.116539146627803,0.00481563335369849,5262
"4",NA,0,NA,NA,0,NA,NA,0,NA,NA,8,933,6268,722,55729,0.12956533814748,0.012789853146977,0.116775485000502,0.127077656115183,0.0103021711146803,63652
"5",0,0,0,0,1,NA,1,1,0,NA,14,146,349,48,95,0.294949494949495,0.335664335664336,-0.0407148407148407,-0.0769415104425888,0.0362266697277481,638
"6",1,0,0,0,1,NA,1,1,0,NA,15,3,109,2,55,0.0267857142857143,0.0350877192982456,-0.00830200501253133,0.0195936139332366,0.0278956189457679,169
"7",NA,0,0,0,1,NA,1,1,1,NA,16,269,458,76,201,0.370013755158184,0.274368231046931,0.0956455241112529,0.101549203802825,0.00590367969157196,1004
"8",NA,0,0,0,1,NA,0,1,1,NA,18,178,252,218,1292,0.413953488372093,0.144370860927152,0.269582627444941,0.236207139833498,0.0333754876114427,1940
"9",NA,0,0,0,1,NA,0,1,0,NA,19,164,319,156,1444,0.339544513457557,0.0975,0.242044513457557,0.292685403110434,0.0506408896528774,2083
"10",0,1,0,0,1,NA,NA,1,NA,NA,20,332,164,211,494,0.669354838709677,0.299290780141844,0.370064058567833,0.371016483516484,0.00095242494865011,1201
"11",NA,NA,NA,NA,0,NA,NA,1,NA,NA,21,5099,7221,5237,63598,0.41387987012987,0.0760804823127769,0.337799387817093,0.349635024411072,0.0118356365939786,81155
