"","age.30","age.60","wkcls.private","wkcls.self_emp","wkcls.gov","educ.12","occ.prof","sex.male","hours.full","income.50K","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",1,0,0,0,1,NA,NA,0,NA,NA,5,15,453,11,885,0.032051282051282,0.0122767857142857,0.0197744963369963,0.0115194242730144,0.00825507206398191,1364
"2",0,0,0,0,1,NA,1,0,NA,NA,7,277,1396,54,349,0.165570830842797,0.133995037220844,0.0315757936219537,-0.0066168451615907,0.0381926387835444,2076
"3",0,0,0,0,1,NA,0,0,NA,NA,8,92,424,90,2605,0.178294573643411,0.0333951762523191,0.144899397391092,0.147979390577935,0.00307999318684327,3211
"4",NA,0,NA,NA,0,NA,NA,0,NA,NA,9,999,6298,733,55570,0.136905577634644,0.0130188444665471,0.123886733168097,0.120141722038726,0.00374501112937102,63600
"5",0,1,NA,NA,NA,NA,NA,0,NA,NA,10,294,1538,322,13604,0.160480349344978,0.0231222174350136,0.137358131909965,0.121914745136146,0.0154433867738183,15758
"6",0,0,0,0,1,NA,1,1,0,NA,16,170,340,46,90,0.333333333333333,0.338235294117647,-0.00490196078431376,-0.109542148053059,0.104640187268746,646
"7",1,0,0,0,1,NA,1,1,0,NA,17,4,100,0,53,0.0384615384615385,0,0.0384615384615385,-0.0258458646616541,0.0643074031231926,157
"8",NA,0,0,0,1,NA,1,1,1,NA,18,271,458,66,196,0.371742112482853,0.251908396946565,0.119833715536288,0.0793450020511418,0.0404887134851465,991
"9",NA,0,0,0,1,NA,0,1,NA,NA,19,325,547,380,2725,0.372706422018349,0.122383252818035,0.250323169200313,0.269072815517942,0.0187496463176288,3977
"10",0,1,0,0,1,NA,NA,1,NA,NA,20,320,148,233,488,0.683760683760684,0.323162274618585,0.360598409142098,0.379848171152519,0.0192497620104206,1189
"11",NA,NA,NA,NA,0,NA,NA,1,NA,NA,21,5157,7180,5319,63439,0.41801086163573,0.077358271037552,0.340652590598178,0.34673538586989,0.00608279527171252,81095
