"","keys","case_number","accumulated_causal_effect","phi"
"1","0 1 1 1 1 0 1 1",40,6,0.15
"2","0 0 1 0 1 0 0 0",41,1,0.024390243902439
"3","0 1 0 1 1 0 1 1",36,7,0.194444444444444
"4","0 1 1 1 0 0 1 1",43,28,0.651162790697674
"5","1 0 1 0 0 1 0 1",41,14,0.341463414634146
"6","1 0 0 0 1 0 1 0",43,8,0.186046511627907
"7","1 1 0 1 1 0 1 0",38,26,0.684210526315789
"8","1 0 0 1 1 0 0 1",40,20,0.5
"9","1 0 1 0 1 1 1 0",48,18,0.375
"10","0 1 1 0 0 0 1 1",35,11,0.314285714285714
"11","1 1 1 0 1 0 1 1",36,6,0.166666666666667
"12","1 1 0 0 1 0 0 1",39,16,0.41025641025641
"13","0 1 0 1 0 0 1 1",32,12,0.375
"14","1 1 0 0 0 0 0 0",27,2,0.0740740740740741
"15","1 1 1 1 1 0 0 0",63,45,0.714285714285714
"17","1 0 1 0 1 0 1 1",41,10,0.24390243902439
"18","1 1 0 1 1 0 0 0",38,21,0.552631578947368
"19","0 1 0 1 0 1 1 0",46,24,0.521739130434783
"20","0 1 1 0 1 1 1 1",37,4,0.108108108108108
"21","0 1 0 0 1 1 0 1",53,12,0.226415094339623
"22","1 1 0 1 1 0 1 1",38,9,0.236842105263158
"23","0 1 1 1 0 0 1 0",45,23,0.511111111111111
"24","0 1 1 1 1 1 0 0",40,25,0.625
"26","0 0 1 1 1 1 1 0",44,10,0.227272727272727
"27","1 1 1 0 1 0 0 1",45,23,0.511111111111111
"28","0 0 0 0 0 1 1 1",33,0,0
"29","0 1 1 0 1 0 0 1",39,22,0.564102564102564
"31","0 1 1 1 0 1 0 1",33,17,0.515151515151515
"32","0 1 0 0 0 1 1 1",30,8,0.266666666666667
"33","1 0 1 1 1 1 1 1",36,4,0.111111111111111
"34","1 1 1 1 1 1 0 0",40,24,0.6
"35","0 0 1 1 1 1 0 1",47,11,0.234042553191489
"36","0 1 1 1 1 1 0 1",41,9,0.219512195121951
